gene_id	gene_symbol	module	k_total	k_within	protein
MMAR_RS17755	MMAR_RS17755	MEturquoise	28.888	28.089	nitroreductase/quinone reductase family protein
MMAR_RS25675	MMAR_RS25675	MEbrown	6.676	3.363	WXG100 family type VII secretion target
MMAR_RS18655	MMAR_RS18655	MEturquoise	27.581	22.845	MmpS family transport accessory protein
MMAR_RS23210	MMAR_RS23210	MEturquoise	26.004	25.363	TetR/AcrR family transcriptional regulator
MMAR_RS03605	MMAR_RS03605	MEturquoise	34.74	33.104	membrane protein
MMAR_RS24880	MMAR_RS24880	MEturquoise	26.749	21.866	hypothetical protein
MMAR_RS20590	MMAR_RS20590	MEturquoise	13.725	6.984	haloalkane dehalogenase
MMAR_RS12780	MMAR_RS12780	MEturquoise	29.525	24.54	Rv0792c family HTH-type transcriptional regulator
MMAR_RS22315	MMAR_RS22315	MEbrown	17.285	4.334	WXG100 family type VII secretion target
MMAR_RS05360	MMAR_RS05360	MEturquoise	25.152	16.86	LLM class F420-dependent oxidoreductase
MMAR_RS23870	MMAR_RS23870	MEturquoise	30.617	25.737	cytochrome P450
MMAR_RS01955	MMAR_RS01955	MEturquoise	36.006	34.251	hypothetical protein
MMAR_RS08555	leuD	MEyellow	14.199	3.722	3-isopropylmalate dehydratase small subunit
MMAR_RS02665	eccB	MEturquoise	14.824	7.836	type VII secretion protein EccB
MMAR_RS25200	kstD	MEturquoise	24.505	18.622	3-oxosteroid 1-dehydrogenase
MMAR_RS02330	MMAR_RS02330	MEblue	24.678	14.836	aldehyde dehydrogenase
MMAR_RS14585	MMAR_RS14585	MEturquoise	34.41	30.06	MMP alpha-(1->4)-mannosyltransferase
MMAR_RS02650	MMAR_RS02650	MEturquoise	36.269	34.527	PPE family protein
MMAR_RS25195	MMAR_RS25195	MEturquoise	35.445	33.748	2-keto-4-pentenoate hydratase
MMAR_RS25435	MMAR_RS25435	MEbrown	14.55	3.112	metal ABC transporter solute-binding protein, Zn/Mn family
MMAR_RS08970	MMAR_RS08970	MEturquoise	34.499	32.836	NAD-dependent epimerase/dehydratase family protein
MMAR_RS12080	cydD	MEturquoise	14.25	12.046	thiol reductant ABC exporter subunit CydD
MMAR_RS07395	MMAR_RS07395	MEturquoise	23.982	22.883	homogentisate 1,2-dioxygenase
MMAR_RS21650	MMAR_RS21650	MEturquoise	33.796	29.428	SDR family oxidoreductase
MMAR_RS13740	MMAR_RS13740	MEturquoise	23.102	17.14	hydrogen peroxide-inducible genes activator
MMAR_RS17620	MMAR_RS17620	MEblue	24.291	11.953	DUF6632 domain-containing protein
MMAR_RS24090	crtI	MEturquoise	20.336	16.319	phytoene desaturase family protein
MMAR_RS00805	MMAR_RS00805	MEturquoise	21.311	17.199	hypothetical protein
MMAR_RS25175	MMAR_RS25175	MEturquoise	36.114	34.381	hypothetical protein
MMAR_RS18715	MMAR_RS18715	MEgreen	12.566	8.635	adenylate/guanylate cyclase domain-containing protein
MMAR_RS13320	MMAR_RS13320	MEblue	20.474	6.995	PPE family protein
MMAR_RS01745	MMAR_RS01745	MEturquoise	24.873	17.033	pirin family protein
MMAR_RS04540	MMAR_RS04540	MEturquoise	25.312	19.459	TetR/AcrR family transcriptional regulator
MMAR_RS00745	MMAR_RS00745	MEturquoise	18.938	16.068	TetR/AcrR family transcriptional regulator
MMAR_RS17750	MMAR_RS17750	MEturquoise	18.632	15.903	oxidoreductase
MMAR_RS04445	MMAR_RS04445	MEturquoise	25.162	17.018	sulfotransferase
MMAR_RS20160	MMAR_RS20160	MEturquoise	12.72	9.505	acyl-CoA dehydrogenase family protein
MMAR_RS20315	MMAR_RS20315	MEturquoise	23.699	15.726	MoaD/ThiS family protein
MMAR_RS08710	MMAR_RS08710	MEbrown	12.449	8.311	LLM class flavin-dependent oxidoreductase
MMAR_RS01960	MMAR_RS01960	MEturquoise	26.79	20.822	hypothetical protein
MMAR_RS24720	MMAR_RS24720	MEturquoise	15.436	12.183	SDR family oxidoreductase
MMAR_RS05670	MMAR_RS05670	MEturquoise	20.068	15.665	DHA2 family efflux MFS transporter permease subunit
MMAR_RS23770	MMAR_RS23770	MEturquoise	33.243	28.733	amidohydrolase family protein
