gene_id	gene_symbol	category	description	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6
MMAR_2313	mps1	Biofilm_GPL	Peptide synthetase Mps1 (GPL biosynthesis / biofilm)	11.5817	11.9887	11.8011	9.284	9.2561	9.1722	11.324	11.3624	11.2461
MMAR_2314	mps2	Biofilm_GPL	Peptide synthetase Mps2 (GPL biosynthesis / biofilm)	12.827	12.7884	12.7732	9.9456	9.9892	10.0086	12.2338	12.4995	12.3329
MMAR_2315	fmt	Biofilm_GPL	Formyltransferase (glycopeptidolipid modification)	13.1412	13.271	13.1555	11.1258	11.3683	11.2154	12.9635	13.1342	13.1423
MMAR_1762	fadD28	Biofilm_GPL	Fatty acyl-AMP ligase (PDMS surface attachment)	13.6367	13.4724	13.4153	11.4978	11.3529	11.2451	13.1442	13.2225	12.9727
MMAR_1764	drrA	Biofilm_GPL	Daunorubicin resistance ABC transporter DrrA	12.5032	12.365	12.5925	10.5837	10.6419	10.636	12.2955	12.1001	12.1684
MMAR_1765	drrB	Biofilm_GPL	ABC transporter transmembrane permease DrrB	10.514	10.5568	10.3586	8.5152	8.7955	8.8016	10.15	10.2698	10.1833
MMAR_5284	groEL1	Biofilm_GPL	Chaperonin GroEL1 (biofilm maturation & mycolic acid association)	12.5856	12.7241	12.6266	10.4833	10.3827	10.6732	12.3227	12.368	12.4277
MMAR_1537	kasA	Cell_Wall_Lipids	Beta-ketoacyl-ACP synthase KasA (FAS-II elongation)	10.7403	10.4534	10.8726	9.1309	9.1083	8.9835	10.9988	10.8397	10.9408
MMAR_1536	kasB	Cell_Wall_Lipids	Beta-ketoacyl-ACP synthase KasB (meromycolate maturation)	12.2043	12.3509	12.2972	10.3324	10.3638	10.6396	12.7067	12.6862	12.4238
MMAR_1535	acpM	Cell_Wall_Lipids	Acyl carrier protein AcpM (meromycolic chain carrier)	10.6128	10.8467	10.7484	9.1898	9.2205	8.8759	10.7463	10.8713	10.9789
MMAR_2760	inhA	Cell_Wall_Lipids	Enoyl-ACP reductase InhA (FAS-II cycle)	10.6567	10.6392	10.9006	9.268	9.29	9.3898	10.6943	10.9583	10.8928
MMAR_1534	fabD	Cell_Wall_Lipids	Malonyl-CoA:ACP transacylase FabD	13.3277	13.1863	13.1562	11.7885	11.6793	11.6739	13.3528	13.2164	13.4733
MMAR_5207	fbpA	Cell_Wall_Lipids	Antigen 85A mycolyltransferase FbpA (cord factor synthesis)	12.807	12.7868	12.7887	10.5081	10.477	10.8003	12.948	12.9629	13.0833
MMAR_2434	fbpB	Cell_Wall_Lipids	Antigen 85B mycolyltransferase FbpB	12.9609	13.1134	13.0906	11.0336	11.0271	11.0333	13.3264	13.0333	13.1494
MMAR_0344	fbpC	Cell_Wall_Lipids	Antigen 85C mycolyltransferase FbpC	10.6942	10.8028	10.6299	8.9127	8.7365	8.6441	10.8205	10.9044	11.0178
MMAR_0392	mmpL3	Cell_Wall_Lipids	Trehalose monomycolate flippase MmpL3	12.3845	12.4108	12.3414	10.3689	10.3079	10.4272	12.2204	12.3638	12.4992
MMAR_4996	mmpL8	Cell_Wall_Lipids	Sulfolipid transporter MmpL8	12.6406	12.9549	12.7891	11.2423	11.438	11.2779	12.6136	12.7316	12.568
MMAR_5439	esxA	ESX_Secretion	6 kDa early secretory antigenic target ESAT-6	12.8122	12.8197	12.625	10.2733	10.3112	10.4855	13.1656	13.0803	12.9265
MMAR_5440	esxB	ESX_Secretion	10 kDa culture filtrate antigen CFP-10	14.3751	14.2399	13.8424	11.6861	11.9712	11.926	14.3913	14.2896	14.5216
MMAR_5444	eccA1	ESX_Secretion	ESX-1 ATPase EccA1	11.7937	11.8468	11.6764	10.1016	9.8864	9.9122	12.2125	11.8994	11.9358
MMAR_5445	eccB1	ESX_Secretion	ESX-1 membrane protein EccB1	13.0944	13.0895	13.1954	11.4057	11.3542	11.3835	13.1853	13.3216	13.14
MMAR_5446	eccC1	ESX_Secretion	ESX-1 core ATPase EccC1	13.2906	13.2931	13.408	11.5354	11.0444	11.2931	13.4677	13.7211	13.4674
MMAR_5447	eccD1	ESX_Secretion	ESX-1 transmembrane channel EccD1	14.6159	14.3637	14.5432	12.3472	12.1755	12.3643	14.5713	14.2961	14.4129
MMAR_5448	eccE1	ESX_Secretion	ESX-1 membrane complex subunit EccE1	12.3852	12.4951	12.633	10.6473	10.8602	10.8484	12.5734	12.5133	12.6002
MMAR_5449	mycP1	ESX_Secretion	Subtilisin-like protease MycP1	13.6454	14.0608	13.8414	12.2528	12.2748	12.0526	13.9295	13.8134	13.8873
MMAR_5434	espA	ESX_Secretion	ESX-1 substrate EspA (virulence factor)	10.7564	10.7712	10.8353	8.6785	8.7887	8.7271	11.2771	10.9708	11.1876
MMAR_4531	dosR	DosR_Stress	DevR/DosR two-component transcriptional response regulator	13.4549	13.5747	13.549	10.7301	10.9348	10.8876	13.2047	13.2801	13.3456
MMAR_4532	dosS	DosR_Stress	DosS histidine kinase sensor (redox / oxygen unweighting)	11.0017	11.1806	11.0817	8.4787	8.4436	8.4612	10.7456	10.8903	10.7633
MMAR_2030	hspX	DosR_Stress	Alpha-crystallin small heat shock protein HspX / Acr	14.3181	14.4341	14.3778	11.0773	11.0369	11.1805	14.091	14.0351	14.0136
MMAR_4533	tgs1	DosR_Stress	Triacylglycerol synthase Tgs1 (lipid droplet dormancy)	11.0492	11.141	11.2136	8.5313	8.6835	8.6891	10.9151	11.0506	10.5782
MMAR_2028	fdxA	DosR_Stress	Ferredoxin FdxA (anaerobic electron transfer)	12.5203	12.5232	12.345	10.3196	10.2725	10.2517	12.337	12.2449	12.3187
MMAR_1416	narG	DosR_Stress	Nitrate reductase alpha subunit NarG	10.834	11.0991	11.0296	9.0172	9.0296	8.9566	10.728	10.8035	10.6663
MMAR_1804	sigE	DosR_Stress	ECF RNA polymerase sigma factor SigE (envelope stress)	10.8501	11.1018	11.0381	9.0661	9.2674	9.2238	10.8056	10.8425	11.007
MMAR_4571	sigH	DosR_Stress	ECF RNA polymerase sigma factor SigH (oxidative stress)	11.1355	11.1508	11.2089	8.9059	9.0058	8.8967	10.9289	10.9742	10.8425
MMAR_4670	whiB3	DosR_Stress	Redox-sensing transcription regulator WhiB3	13.4874	13.671	13.3348	11.1217	11.1223	11.1722	13.5728	13.155	13.275
MMAR_2761	katG	Oxidative_Stress	Catalase-peroxidase KatG	12.8002	12.6761	12.7165	10.8482	10.449	10.5568	12.5726	12.6981	12.479
MMAR_5238	sodA	Oxidative_Stress	Superoxide dismutase SodA (Mn/Fe cofactor)	12.3784	12.2759	12.6591	9.9035	10.0063	9.9663	12.359	12.3958	12.5583
MMAR_0638	sodC	Oxidative_Stress	Superoxide dismutase SodC (Cu/Zn envelope enzyme)	12.605	12.4287	12.4242	10.3655	10.621	10.6558	12.5001	12.3543	12.362
MMAR_3514	ahpC	Oxidative_Stress	Alkyl hydroperoxide reductase subunit C	11.8589	11.9339	11.9927	9.6006	9.608	9.8475	11.9315	11.6832	12.0097
MMAR_3513	ahpD	Oxidative_Stress	Alkyl hydroperoxide reductase subunit D	13.2948	13.2434	13.1858	11.5296	11.4859	11.2624	13.1673	13.048	13.3037
MMAR_3978	trxB2	Oxidative_Stress	Thioredoxin reductase TrxB2	13.5003	13.491	13.3411	11.3942	11.6023	11.4202	13.3021	13.0751	13.2938
MMAR_3979	trxC	Oxidative_Stress	Thioredoxin TrxC	13.3787	13.2951	13.573	11.6284	11.5955	11.6581	13.135	13.3989	13.2985
MMAR_1120	clpP1	Simulator_Divergent	ATP-dependent Clp protease proteolytic subunit 1	12.8237	12.7682	12.6165	10.9153	10.7017	10.7597	11.2048	11.2625	11.0347
MMAR_1121	clpP2	Simulator_Divergent	ATP-dependent Clp protease proteolytic subunit 2	11.1275	11.1777	11.2116	9.4722	9.3454	9.2975	9.7344	9.8767	9.9383
MMAR_3120	dnaK	Simulator_Divergent	Molecular chaperone DnaK (Hsp70 family)	14.0787	14.2433	14.3226	11.805	11.8757	12.042	12.5122	12.4361	12.6322
MMAR_3121	grpE	Simulator_Divergent	Heat shock protein GrpE (DnaK nucleotide exchange)	12.6627	12.6697	12.5646	10.6216	10.1889	10.5516	10.9953	10.9128	11.0294
MMAR_1340	recA	Simulator_Divergent	Recombinase RecA (DNA repair & shear stress)	13.5083	13.7141	13.6596	11.8834	11.7853	11.8395	11.9833	11.986	11.962
MMAR_4420	cydA	Simulator_Divergent	Cytochrome bd ubiquinol oxidase subunit I	12.0142	12.1771	12.3332	11.5964	11.5007	11.7136	13.7954	13.8023	13.9005
MMAR_4421	cydB	Simulator_Divergent	Cytochrome bd ubiquinol oxidase subunit II	12.4695	12.0528	12.4339	11.8599	11.971	11.7011	14.0754	14.0479	13.9687
MMAR_0820	icl1	Simulator_Divergent	Isocitrate lyase Icl1 (glyoxylate shunt)	9.4789	9.5288	9.336	8.9652	8.8889	8.8557	10.9522	11.0044	10.9292
MMAR_1300	rpoB	Housekeeping	DNA-directed RNA polymerase beta subunit	12.4945	12.4756	12.5967	12.5635	12.5368	12.4686	12.094	12.5012	12.386
MMAR_1301	rpoC	Housekeeping	DNA-directed RNA polymerase beta' subunit	9.833	9.7985	9.5631	9.7504	9.6555	9.7535	9.8369	9.8512	9.9897
MMAR_2100	gyrA	Housekeeping	DNA gyrase subunit A	10.9191	10.9384	10.759	10.8648	10.5365	10.7694	10.8159	10.8882	10.7831
MMAR_2101	gyrB	Housekeeping	DNA gyrase subunit B	9.1608	9.0126	8.8938	9.1192	9.0979	9.1854	9.0487	9.2166	9.1896
MMAR_3400	secA	Housekeeping	Protein translocase subunit SecA	9.7632	9.9277	9.9195	10.2892	10.0428	9.9467	9.7226	9.9719	9.9131
MMAR_0910	atpA	Downregulated_Metabolism	ATP synthase F1 alpha subunit	11.0492	10.9275	10.9299	11.8808	11.4167	11.8679	11.1792	10.898	11.1373
MMAR_0911	atpB	Downregulated_Metabolism	ATP synthase F1 beta subunit	10.098	10.1328	10.1884	11.0555	11.3167	11.1808	10.2197	10.3007	10.4654
MMAR_0912	atpD	Downregulated_Metabolism	ATP synthase F1 delta subunit	8.9994	9.2548	9.1616	9.9034	9.9626	9.8786	9.1179	9.405	9.2597
MMAR_2350	nuoA	Downregulated_Metabolism	NADH-quinone oxidoreductase subunit A	8.0082	8.0666	7.9448	9.4357	9.354	9.2272	8.0939	8.1916	7.9621
MMAR_2351	nuoB	Downregulated_Metabolism	NADH-quinone oxidoreductase subunit B	7.7236	7.6318	7.708	8.8218	8.9808	8.5767	7.7166	7.8127	7.5417
MMAR_2352	nuoD	Downregulated_Metabolism	NADH-quinone oxidoreductase subunit D	11.1802	11.0467	11.0248	12.4195	12.5786	12.3837	11.1999	11.3064	11.2222
MMAR_4100	gltA	Downregulated_Metabolism	Citrate synthase GltA	10.7597	10.6905	10.642	12.2302	12.0752	12.1332	10.3106	10.8374	10.7741
MMAR_4101	icd1	Downregulated_Metabolism	Isocitrate dehydrogenase Icd1	9.9046	10.1472	9.9628	11.1072	11.2119	11.1255	10.1497	9.8513	9.8871
MMAR_1890	eno	Downregulated_Metabolism	Enolase Eno (glycolytic enzyme)	11.0623	10.9529	11.0247	11.9451	11.7067	11.9055	10.9661	10.8918	10.7034
MMAR_0065	mmp_65	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0065	10.6329	10.6745	10.9516	10.7358	10.6514	10.7595	10.6083	10.6636	10.6696
MMAR_0066	mmp_66	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0066	10.6506	10.8351	10.5679	10.6248	10.6663	10.5503	10.4797	10.802	10.6548
MMAR_0067	mmp_67	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0067	8.3135	8.404	8.5781	8.3581	8.7831	8.3534	7.968	8.3729	8.1248
MMAR_0068	mmp_68	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0068	9.8568	9.869	9.8762	9.9087	9.6397	9.8755	9.7136	9.9009	10.0368
MMAR_0069	mmp_69	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0069	11.3885	11.107	11.225	11.432	11.3207	11.3659	11.2036	11.1692	11.1884
MMAR_0070	mmp_70	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0070	12.0858	12.0762	12.6186	12.3248	12.2881	12.0784	12.5046	12.7498	12.6496
MMAR_0071	mmp_71	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0071	11.0531	10.9666	10.9896	10.6738	10.8345	10.7542	11.0581	10.9851	10.9755
MMAR_0072	mmp_72	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0072	11.623	11.6997	11.8196	12.0467	12.0916	12.0442	11.5919	11.6531	11.5356
MMAR_0073	mmp_73	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0073	11.761	11.4682	11.3994	11.4354	11.3771	11.4145	11.6066	11.8751	11.7377
MMAR_0074	mmp_74	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0074	9.017	9.3732	9.2693	9.1214	9.2516	9.1956	9.1245	9.1947	9.2407
MMAR_0075	mmp_75	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0075	11.3686	11.5392	11.7483	11.5169	11.3238	11.3377	11.5323	11.3064	11.3792
MMAR_0076	mmp_76	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0076	9.2363	9.0849	9.0678	9.1967	9.3009	9.0945	8.9502	9.1321	9.2385
