gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_2313	mps1	Peptide synthetase Mps1 (GPL biosynthesis / biofilm)	Biofilm_GPL	2.5531	1.0000e-15	6.8571e-15	YES
MMAR_2314	mps2	Peptide synthetase Mps2 (GPL biosynthesis / biofilm)	Biofilm_GPL	2.8150	1.0000e-15	6.8571e-15	YES
MMAR_2315	fmt	Formyltransferase (glycopeptidolipid modification)	Biofilm_GPL	1.9528	1.0000e-15	6.8571e-15	YES
MMAR_1762	fadD28	Fatty acyl-AMP ligase (PDMS surface attachment)	Biofilm_GPL	2.1428	1.0000e-15	6.8571e-15	YES
MMAR_1764	drrA	Daunorubicin resistance ABC transporter DrrA	Biofilm_GPL	1.8664	1.0000e-15	6.8571e-15	YES
MMAR_1765	drrB	ABC transporter transmembrane permease DrrB	Biofilm_GPL	1.7724	1.0000e-15	6.8571e-15	YES
MMAR_5284	groEL1	Chaperonin GroEL1 (biofilm maturation & mycolic acid association)	Biofilm_GPL	2.1324	1.0000e-15	6.8571e-15	YES
MMAR_1537	kasA	Beta-ketoacyl-ACP synthase KasA (FAS-II elongation)	Cell_Wall_Lipids	1.6146	1.0000e-15	6.8571e-15	YES
MMAR_1536	kasB	Beta-ketoacyl-ACP synthase KasB (meromycolate maturation)	Cell_Wall_Lipids	1.8389	1.0000e-15	6.8571e-15	YES
MMAR_1535	acpM	Acyl carrier protein AcpM (meromycolic chain carrier)	Cell_Wall_Lipids	1.6406	1.0000e-15	6.8571e-15	YES
MMAR_2760	inhA	Enoyl-ACP reductase InhA (FAS-II cycle)	Cell_Wall_Lipids	1.4162	1.0000e-15	6.8571e-15	YES
MMAR_1534	fabD	Malonyl-CoA:ACP transacylase FabD	Cell_Wall_Lipids	1.5095	1.0000e-15	6.8571e-15	YES
MMAR_5207	fbpA	Antigen 85A mycolyltransferase FbpA (cord factor synthesis)	Cell_Wall_Lipids	2.1991	1.0000e-15	6.8571e-15	YES
MMAR_2434	fbpB	Antigen 85B mycolyltransferase FbpB	Cell_Wall_Lipids	2.0237	1.0000e-15	6.8571e-15	YES
MMAR_0344	fbpC	Antigen 85C mycolyltransferase FbpC	Cell_Wall_Lipids	1.9445	1.0000e-15	6.8571e-15	YES
MMAR_0392	mmpL3	Trehalose monomycolate flippase MmpL3	Cell_Wall_Lipids	2.0109	1.0000e-15	6.8571e-15	YES
MMAR_4996	mmpL8	Sulfolipid transporter MmpL8	Cell_Wall_Lipids	1.4754	1.0000e-15	6.8571e-15	YES
MMAR_5439	esxA	6 kDa early secretory antigenic target ESAT-6	ESX_Secretion	2.3956	1.0000e-15	6.8571e-15	YES
MMAR_5440	esxB	10 kDa culture filtrate antigen CFP-10	ESX_Secretion	2.2914	1.0000e-15	6.8571e-15	YES
MMAR_5444	eccA1	ESX-1 ATPase EccA1	ESX_Secretion	1.8056	1.0000e-15	6.8571e-15	YES
MMAR_5445	eccB1	ESX-1 membrane protein EccB1	ESX_Secretion	1.7453	1.0000e-15	6.8571e-15	YES
MMAR_5446	eccC1	ESX-1 core ATPase EccC1	ESX_Secretion	2.0396	1.0000e-15	6.8571e-15	YES
MMAR_5447	eccD1	ESX-1 transmembrane channel EccD1	ESX_Secretion	2.2119	1.0000e-15	6.8571e-15	YES
MMAR_5448	eccE1	ESX-1 membrane complex subunit EccE1	ESX_Secretion	1.7191	1.0000e-15	6.8571e-15	YES
MMAR_5449	mycP1	Subtilisin-like protease MycP1	ESX_Secretion	1.6558	1.0000e-15	6.8571e-15	YES
MMAR_5434	espA	ESX-1 substrate EspA (virulence factor)	ESX_Secretion	2.0561	1.0000e-15	6.8571e-15	YES
MMAR_4531	dosR	DevR/DosR two-component transcriptional response regulator	DosR_Stress	2.6754	1.0000e-15	6.8571e-15	YES
MMAR_4532	dosS	DosS histidine kinase sensor (redox / oxygen unweighting)	DosR_Stress	2.6269	1.0000e-15	6.8571e-15	YES
